payment_id,order_id,payment_date,amount,payment_method
0,10299,2024-07-11,172.22847040456622,UPI
1,783,2024-05-06,734.1229062804563,UPI
2,1667,2024-04-17,505.226461368205,Credit Card
3,7349,2024-09-17,194.98513320134927,PayPal
4,9543,2024-05-12,112.19079954524115,Debit Card
5,513,2024-04-21,351.0136919086228,PayPal
6,8388,2024-06-27,698.8337699972767,UPI
7,2447,2024-07-07,419.5686693024631,Credit Card
8,7264,2024-10-20,921.8249629253561,PayPal
9,13689,2024-05-09,403.80097339857633,PayPal
10,3188,2024-09-22,871.5078425475435,PayPal
11,8415,2024-09-02,140.42891881685202,PayPal
12,4896,2024-09-10,434.98293206670223,PayPal
13,1863,2024-01-25,982.242031392903,UPI
14,1141,2024-09-05,581.3670918586475,Credit Card
15,13798,2024-10-22,938.2016089972292,PayPal
16,597,2024-12-19,44.51723713047183,Credit Card
17,14711,2024-01-31,251.68397184545964,UPI
18,12961,2024-06-23,338.7032207651503,Credit Card
19,6058,2024-11-12,966.3849333627369,Debit Card
20,12744,2024-11-13,581.7374973853732,Debit Card
21,12693,2024-04-07,152.1390104417173,Debit Card
22,2178,2024-10-28,35.75513690884094,PayPal
23,15633,2024-11-14,331.6650154908099,PayPal
24,14248,2024-03-23,773.9182470636092,Debit Card
25,2428,2024-12-26,783.5091611739725,UPI
26,10068,2024-05-26,559.3626977441186,Credit Card
27,13761,2024-09-28,912.3596251728578,Debit Card
28,203,2024-01-17,130.99132282865975,Debit Card
29,8518,2024-11-22,759.9086373499479,Debit Card
30,4417,2024-01-03,795.2648716979795,Credit Card
31,886,2024-12-18,456.70016727645833,PayPal
32,4026,2024-04-27,748.5241152753159,PayPal
33,10972,2024-08-28,246.00881600247558,Debit Card
34,721,2024-04-13,498.0529523463051,UPI
35,805,2024-03-20,216.28960903672296,PayPal
36,7808,2024-03-15,509.5283957166263,UPI
37,4684,2024-10-08,685.1993808817725,Credit Card
38,12480,2024-04-07,12.56820340363733,UPI
39,6106,2024-01-13,100.74909055445012,UPI
40,4007,2024-03-06,488.7599235975555,Credit Card
41,2776,2024-01-29,107.32290799679222,Credit Card
42,5514,2024-03-08,356.9387569050774,PayPal
43,9174,2024-03-19,877.0677689245355,UPI
44,15937,2024-04-07,643.1242112410164,UPI
